"replicate","method","time_seconds","size"
1,"Direct",0,"Small"
1,"Schur",0.00100000000000011,"Small"
1,"Case1_NoFixedEffects",0,"Small"
1,"Case2_NoPhenotypes",0,"Small"
2,"Direct",0,"Small"
2,"Schur",0.00100000000000011,"Small"
2,"Case1_NoFixedEffects",0,"Small"
2,"Case2_NoPhenotypes",0,"Small"
3,"Direct",0,"Small"
3,"Schur",0.00099999999999989,"Small"
3,"Case1_NoFixedEffects",0,"Small"
3,"Case2_NoPhenotypes",0.00100000000000011,"Small"
4,"Direct",0.00100000000000011,"Small"
4,"Schur",0,"Small"
4,"Case1_NoFixedEffects",0.00100000000000011,"Small"
4,"Case2_NoPhenotypes",0,"Small"
5,"Direct",0,"Small"
5,"Schur",0.00100000000000011,"Small"
5,"Case1_NoFixedEffects",0,"Small"
5,"Case2_NoPhenotypes",0,"Small"
1,"Direct",0.004,"Medium"
1,"Schur",0.00300000000000011,"Medium"
1,"Case1_NoFixedEffects",0.00299999999999989,"Medium"
1,"Case2_NoPhenotypes",0.00099999999999989,"Medium"
2,"Direct",0.00299999999999967,"Medium"
2,"Schur",0.00300000000000011,"Medium"
2,"Case1_NoFixedEffects",0.00200000000000022,"Medium"
2,"Case2_NoPhenotypes",0.00199999999999978,"Medium"
3,"Direct",0.004,"Medium"
3,"Schur",0.00300000000000011,"Medium"
3,"Case1_NoFixedEffects",0.00199999999999978,"Medium"
3,"Case2_NoPhenotypes",0.00099999999999989,"Medium"
4,"Direct",0.00299999999999967,"Medium"
4,"Schur",0.00300000000000011,"Medium"
4,"Case1_NoFixedEffects",0.00200000000000022,"Medium"
4,"Case2_NoPhenotypes",0.00100000000000033,"Medium"
5,"Direct",0.004,"Medium"
5,"Schur",0.00300000000000011,"Medium"
5,"Case1_NoFixedEffects",0.00200000000000022,"Medium"
5,"Case2_NoPhenotypes",0.00100000000000033,"Medium"
1,"Direct",0.0230000000000001,"Large"
1,"Schur",0.0150000000000001,"Large"
1,"Case1_NoFixedEffects",0.0109999999999997,"Large"
1,"Case2_NoPhenotypes",0.00700000000000012,"Large"
2,"Direct",0.0220000000000002,"Large"
2,"Schur",0.0149999999999997,"Large"
2,"Case1_NoFixedEffects",0.0110000000000001,"Large"
2,"Case2_NoPhenotypes",0.00800000000000001,"Large"
3,"Direct",0.0219999999999994,"Large"
3,"Schur",0.016,"Large"
3,"Case1_NoFixedEffects",0.0109999999999992,"Large"
3,"Case2_NoPhenotypes",0.00699999999999967,"Large"
4,"Direct",0.0199999999999996,"Large"
4,"Schur",0.0149999999999997,"Large"
4,"Case1_NoFixedEffects",0.0110000000000001,"Large"
4,"Case2_NoPhenotypes",0.00700000000000056,"Large"
5,"Direct",0.0209999999999999,"Large"
5,"Schur",0.0150000000000006,"Large"
5,"Case1_NoFixedEffects",0.0110000000000001,"Large"
5,"Case2_NoPhenotypes",0.00699999999999967,"Large"
1,"Direct",0.147,"Very Large"
1,"Schur",0.102,"Very Large"
1,"Case1_NoFixedEffects",0.077,"Very Large"
1,"Case2_NoPhenotypes",0.0449999999999999,"Very Large"
2,"Direct",0.141999999999999,"Very Large"
2,"Schur",0.0999999999999996,"Very Large"
2,"Case1_NoFixedEffects",0.0789999999999988,"Very Large"
2,"Case2_NoPhenotypes",0.048,"Very Large"
3,"Direct",0.141,"Very Large"
3,"Schur",0.100999999999999,"Very Large"
3,"Case1_NoFixedEffects",0.0779999999999994,"Very Large"
3,"Case2_NoPhenotypes",0.0470000000000006,"Very Large"
4,"Direct",0.141,"Very Large"
4,"Schur",0.102,"Very Large"
4,"Case1_NoFixedEffects",0.0780000000000012,"Very Large"
4,"Case2_NoPhenotypes",0.0450000000000017,"Very Large"
5,"Direct",0.136999999999997,"Very Large"
5,"Schur",0.0999999999999979,"Very Large"
5,"Case1_NoFixedEffects",0.0769999999999982,"Very Large"
5,"Case2_NoPhenotypes",0.0459999999999994,"Very Large"
