"size","method","mean_time","sd_time"
"Large","Case1_NoFixedEffects",0.0109999999999999,3.97206222128141e-16
"Medium","Case1_NoFixedEffects",0.00220000000000007,0.000447213595499859
"Small","Case1_NoFixedEffects",0.000200000000000022,0.000447213595500008
"Very Large","Case1_NoFixedEffects",0.0777999999999995,0.000836660026534143
"Large","Case2_NoPhenotypes",0.00720000000000001,0.000447213595499958
"Medium","Case2_NoPhenotypes",0.00120000000000005,0.000447213595499809
"Small","Case2_NoPhenotypes",0.000200000000000022,0.000447213595500008
"Very Large","Case2_NoPhenotypes",0.0462000000000003,0.00130384048104028
"Large","Direct",0.0215999999999998,0.0011401754250993
"Medium","Direct",0.00359999999999987,0.000547722557505349
"Small","Direct",0.000200000000000022,0.000447213595500008
"Very Large","Direct",0.141599999999999,0.00357770876400073
"Large","Schur",0.0152,0.000447213595499958
"Medium","Schur",0.00300000000000011,0
"Small","Schur",0.000800000000000045,0.000447213595499983
"Very Large","Schur",0.100999999999999,0.00100000000000078
